entry_fee_foreign_inr,open_hours_tue,description,open_hours_sat,last_verified,famous_for,access,entry_fee_child_indian_inr,connectivity,district,distance_from,visitor_tips,tips,seasonal_hours,nearby_attractions,suitable_for,lng,food_specialties,entry_fee_adult,aka,entry_fee_adult_indian_inr,open_hours_sun,stay_and_food,accessibility,taluka,avg_visit_mins,open_hours_fri,entry_fee_camera_fee_inr,open_hours_mon,temple,name,best_months,entry_fee_child,open_hours_wed,state,location,notes,id,lat,rating,city,type,village,disclaimer,entry_fee_foreign,open_hours_thu,festival_crowds,heritage,fees,darshan_timings,country,highlights,tags
,06:00-20:00,"A 15th-century congregational mosque commissioned by Sultan Ahmad Shah I in 1424, noted for its vast sandstone courtyard, 260-pillared prayer hall with 15 domes, and Indo-Islamic detailing including lotus-carved domes and pierced stone jalis.",06:00-20:00,2025-09-01,"Indo-Islamic architecture, 260-pillared hall, lotus-carved domes, historic courtyard",,,,,,,,,"['Bhadra Fort', 'Teen Darwaza', 'Rani no Hajiro', 'Badshah no Hajiro', 'Sidi Saiyyed Mosque']","['solo', 'group', 'friends', 'couple', 'family', 'seniors', 'photographers', 'history-buffs', 'pilgrims']",72.588,,0,,,06:00-20:00,,"{'wheelchair': True, 'public_transport': True, 'parking': True}",,45,06:00-20:00,,06:00-20:00,,Jama Masjid,"Nov, Dec, Jan, Feb, Mar",0,06:00-20:00,Gujarat,,"Active place of worship; modest attire required; non-Muslim visitors should avoid prayer times, especially Friday noon prayers; some interior photography restrictions may apply.",P_00011,23.0246,4.6,Ahmedabad,heritage,,,0,06:00-20:00,,,,,India,,"mosque, architecture, history, photography"
,06:00-19:00,"The first Swaminarayan temple (1822) and headquarters of the NarNarayan Dev Gadi, renowned for vividly painted Burmese teak wood carvings, a grand gateway, and shrines dedicated to Nar-Narayan, Radha-Krishna, and other deities.",06:00-19:00,2025-09-01,"Burmese teak carvings, colorful gateway, Nar-Narayan Dev shrine, heritage walk starting point",,,,,,,,,"['Manek Chowk', 'Jama Masjid', 'Rani no Hajiro', 'Bhadra Fort']","['solo', 'group', 'friends', 'couple', 'family', 'seniors', 'pilgrims', 'history-buffs', 'photographers']",72.6029,,0,,,06:00-19:00,,"{'wheelchair': True, 'public_transport': True, 'parking': True}",,45,06:00-19:00,,06:00-19:00,,Shree Swaminarayan Mandir (Kalupur),"Nov, Dec, Jan, Feb, Mar",0,06:00-19:00,Gujarat,,Active place of worship; modest attire required; interior photography may be restricted; mornings are less crowded.,P_00012,23.0294,4.6,Ahmedabad,heritage,,,0,06:00-19:00,,,,,India,,"Hindu temple, architecture, history, photography, woodcarving"
,05:00-22:00,"An urban park officially known as Sheth Motilal Hirabhai Park, famous for its evening handicrafts bazaar and vibrant street food zone popularly called the Law Garden Night Market.",05:00-22:00,2025-09-01,"handicraft shopping, mirror-work garments, street food, evening bazaar",,,,,,,,,"['Parimal Garden', 'Amdavad ni Gufa', 'Sabarmati Riverfront', 'Jama Masjid']","['family', 'friends', 'group', 'couple', 'solo', 'photographers', 'shoppers', 'foodies']",72.5608,,0,,,05:00-22:00,,"{'wheelchair': True, 'public_transport': True, 'parking': True}",,90,05:00-22:00,,05:00-22:00,,Law Garden,"Nov, Dec, Jan, Feb, Mar",0,05:00-22:00,Gujarat,,Bargaining is common at the stalls; evenings are crowded especially during festivals; carry cash as some vendors may not accept cards.,P_00013,23.0264,4.4,Ahmedabad,park_market,,,0,05:00-22:00,,,,,India,,"park, night market, street food, shopping, handicrafts"
,"04:30-12:45,16:00-21:00","A prominent ISKCON temple on Sarkhej–Gandhinagar Highway, known as Sri Sri Radha Govind Dham, featuring ornate shikhars, daily aartis, kirtans, and classes, with facilities including a goshala and prasadam counters.","04:30-12:45,16:00-21:00",2025-09-01,"Radha-Krishna deities, daily aarti and kirtan, festivals like Janmashtami",,,,,,,,,"['Vastrapur Lake', 'Ahmedabad One Mall', 'Sarkhej Roza', 'Sabarmati Riverfront']","['pilgrims', 'family', 'seniors', 'solo', 'group', 'friends', 'couple', 'educational']",72.5075,,0,,,"04:30-12:45,16:00-21:00",,"{'wheelchair': True, 'public_transport': True, 'parking': True}",,60,"04:30-12:45,16:00-21:00",,"04:30-12:45,16:00-21:00",,ISKCON Temple (Sri Sri Radha Govind Dham),"Nov, Dec, Jan, Feb, Mar",0,"04:30-12:45,16:00-21:00",Gujarat,,Darshan usually split into morning and evening sessions; photography may be restricted inside; festival days can have extended timings and large crowds.,P_00014,23.0333,4.6,Ahmedabad,temple,,,0,"04:30-12:45,16:00-21:00",,,,,India,,"Hindu temple, Krishna, Bhakti, architecture, devotional"
,09:30-17:00,"A museum and memorial dedicated to Sardar Vallabhbhai Patel housed in the 17th-century Moti Shahi Mahal (Shahibaug Palace), featuring galleries on Patel’s life and India’s integration, interactive exhibits, and landscaped Mughal-era gardens.",09:30-17:00,2025-09-01,"Moti Shahi Mahal, Sardar Patel galleries, interactive audiovisual exhibits, Mughal gardens",,,,,,,,,"['Sabarmati Ashram', 'Hutheesing Jain Temple', 'Calico Museum of Textiles', 'Sabarmati Riverfront']","['family', 'kids', 'seniors', 'solo', 'group', 'friends', 'history-buffs', 'educational']",72.5939,,30,,,09:30-17:00,,"{'wheelchair': True, 'public_transport': True, 'parking': True}",,90,09:30-17:00,,Closed,,Sardar Vallabhbhai Patel National Memorial,"Nov, Dec, Jan, Feb, Mar",10,09:30-17:00,Gujarat,,3D light-and-sound show in the evening on select days; timings and ticket prices may change during special events—check locally.,P_00015,23.0473,4.5,Ahmedabad,museum,,,100,09:30-17:00,,,,,India,,"history, museum, freedom struggle, heritage, architecture"
,06:00-18:00,"A pair of historic ‘shaking’ minarets—remnants of the Sidi Bashir Mosque—famous for the phenomenon where one minaret vibrates when the other is gently shaken, while the connecting passage remains still.",06:00-18:00,2025-09-01,"shaking minarets phenomenon, Indo-Islamic design, Sidi Bashir Mosque gateway",,,,,,,,,"['Ahmedabad Junction (Kalupur)', 'Jama Masjid', 'Sidi Saiyyed Mosque', 'Manek Chowk']","['solo', 'friends', 'group', 'couple', 'photographers', 'history-buffs', 'educational']",72.5998,,0,,,06:00-18:00,,"{'wheelchair': False, 'public_transport': True, 'parking': True}",,30,06:00-18:00,,06:00-18:00,,Jhulta Minar (Shaking Minarets),"Nov, Dec, Jan, Feb, Mar",0,06:00-18:00,Gujarat,,Climbing the minarets is not permitted due to conservation; demonstrations of shaking are generally not allowed.,P_00016,23.0237,4.4,Ahmedabad,heritage,,,0,06:00-18:00,,,,,India,,"architecture, history, mystery, photography"
,06:00-01:00,"A historic city square in Old Ahmedabad that transitions from a vegetable market in the morning to a bullion/jewellery market by day, and a vibrant late-night street-food hub after dusk.",06:00-01:00,2025-09-01,"night street food, bullion market, proximity to Bhadra Fort, late-night eateries",,,,,,,,,"['Bhadra Fort', 'Teen Darwaza', 'Jama Masjid', 'Rani no Hajiro', 'Badshah no Hajiro']","['foodies', 'friends', 'group', 'couple', 'solo', 'photographers', 'shoppers']",72.587,,0,,,06:00-01:00,,"{'wheelchair': True, 'public_transport': True, 'parking': False}",,90,06:00-01:00,,06:00-01:00,,Manek Chowk,"Nov, Dec, Jan, Feb, Mar",0,06:00-01:00,Gujarat,,Very crowded late evenings; carry cash for small vendors; watch for traffic in the narrow lanes; late-night hours vary during festivals or enforcement drives.,P_00017,23.0225,4.5,Ahmedabad,market_square,,,0,06:00-01:00,,,,,India,,"street food, market, heritage, nightlife, shopping"
,09:00-17:00,"A late 15th-century multi-storey stepwell in Asarwa built by Dhai Harir (Bai Harir Sultani), noted for Indo-Islamic design, octagonal shaft, spiral staircases, and intricate sandstone carvings; adjacent to a small mosque and the tomb of Bai Harir.",09:00-17:00,2025-09-01,"Indo-Islamic carvings, octagonal shaft, spiral staircases, Bai Harir’s tomb",,,,,,,,,"['Jama Masjid', 'Sidi Saiyyed Mosque', 'Sabarmati Riverfront', 'Manek Chowk']","['solo', 'friends', 'group', 'couple', 'photographers', 'history-buffs', 'educational']",72.6125,,0,,,09:00-17:00,,"{'wheelchair': False, 'public_transport': True, 'parking': True}",,45,09:00-17:00,,09:00-17:00,,Dada Harir Stepwell (Dada Hari ni Vav),"Nov, Dec, Jan, Feb, Mar",0,09:00-17:00,Gujarat,,Best light mid-morning; interiors can be dim—carry a small torch; entry timings may vary slightly with local management.,P_00018,23.0407,4.5,Ahmedabad,heritage,,,0,09:00-17:00,,,,,India,,"stepwell, architecture, history, photography"
,"10:30-12:30,15:00-17:00","A premier textile museum under the Sarabhai Foundation housed at The Retreat in Shahibaug, renowned for one of the world’s finest collections of Indian textiles spanning centuries, with guided, timed tours for the main textile and religious art galleries.","10:30-12:30,15:00-17:00",2025-09-01,"historic Indian textiles, double ikat patola, Kashmiri shawls, royal tents and carpets",,,,,,,,,"['Sardar Vallabhbhai Patel National Memorial', 'Sabarmati Ashram', 'Hutheesing Jain Temple', 'Sabarmati Riverfront']","['educational', 'history-buffs', 'solo', 'group', 'family', 'seniors', 'art-lovers']",72.5922,,0,,,"10:30-12:30,15:00-17:00",,"{'wheelchair': True, 'public_transport': True, 'parking': True}",,120,"10:30-12:30,15:00-17:00",,Closed,,Calico Museum of Textiles,"Nov, Dec, Jan, Feb, Mar",0,Closed,Gujarat,,"Entry is via limited-capacity guided tours; morning session focuses on main textile galleries, afternoon on religious art; advance confirmation recommended; closed on public holidays.",P_00019,23.0533,4.7,Ahmedabad,museum,,,0,"10:30-12:30,15:00-17:00",,,,,India,,"textiles, history, craft, heritage, art"
,"05:30-12:00,16:00-22:00","A popular urban park with walking/jogging tracks, children’s play areas, a pond with waterfowl, shaded lawns, and an amphitheatre, offering a calm green escape near Law Garden.","05:30-12:00,16:00-22:00",2025-09-01,"walking tracks, green lawns, pond with ducks, children’s play zone",,,,,,,,,"['Law Garden Night Market', 'Amdavad ni Gufa', 'Sabarmati Riverfront', 'Jama Masjid']","['family', 'kids', 'seniors', 'solo', 'friends', 'group', 'photographers', 'nature']",72.5608,,0,,,"05:30-12:00,16:00-22:00",,"{'wheelchair': True, 'public_transport': True, 'parking': True}",,60,"05:30-12:00,16:00-22:00",,"05:30-12:00,16:00-22:00",,Parimal Garden,"Nov, Dec, Jan, Feb, Mar",0,"05:30-12:00,16:00-22:00",Gujarat,,Mornings and evenings are most pleasant; basic amenities available; weekends can be busy.,P_00020,23.0219,4.4,Ahmedabad,park,,,0,"05:30-12:00,16:00-22:00",,,,,India,,"park, jogging, playground, pond, photography"
,06:00-20:00,"A 15th-century citadel founded by Sultan Ahmad Shah I (1411) that once housed royal palaces, courts, mosques, and gardens; the eastern triple-arched Teen Darwaza led to the royal Maidan-Shah square and today opens onto bustling markets.",06:00-20:00,2025-09-01,"Teen Darwaza gateway, Indo-Islamic architecture, Nagina Baug remnants, historic city core",,,,,,,,,"['Manek Chowk', 'Jama Masjid', 'Rani no Hajiro', 'Badshah no Hajiro', 'Sidi Saiyyed Mosque']","['solo', 'group', 'friends', 'couple', 'family', 'seniors', 'photographers', 'history-buffs']",72.5853,,0,,,06:00-20:00,,"{'wheelchair': True, 'public_transport': True, 'parking': False}",,60,06:00-20:00,,06:00-20:00,,Bhadra Fort,"Nov, Dec, Jan, Feb, Mar",0,06:00-20:00,Gujarat,,Area is busy and traffic-heavy; best explored on foot; some inner sections may be restricted or under restoration.,P_00021,23.0225,4.5,Ahmedabad,heritage,,,0,06:00-20:00,,,,,India,,"fort, architecture, history, photography"
,15:00-22:30,"A unique museum within the Vishalla complex dedicated to traditional Indian utensils and household objects, showcasing thousands of brass, copper, bronze, wood, and terracotta items arranged in a rustic hut-style setting.",15:00-22:30,2025-09-01,"traditional utensils collection, rustic hut galleries, Vishalla village ambience",,,,,,,,,"['Sarkhej Roza', 'Sabarmati Riverfront', 'Kankaria Lake', 'Manek Chowk']","['family', 'kids', 'seniors', 'solo', 'group', 'friends', 'art-lovers', 'history-buffs', 'educational']",72.5464,,0,,,15:00-22:30,,"{'wheelchair': True, 'public_transport': True, 'parking': True}",,60,15:00-22:30,,Closed,,Vechaar (Veechar) Utensils Museum,"Nov, Dec, Jan, Feb, Mar",0,15:00-22:30,Gujarat,,Located inside Vishalla; hours and ticketing may vary with events; photography policies can change—check on arrival.,P_00022,22.9909,4.5,Ahmedabad,museum,,,0,15:00-22:30,,,,,India,,"utensils, craft, heritage, folk life, design"
,09:00-18:15,"A large municipal zoo established in 1951 on the periphery of Kankaria Lake, home to a wide variety of mammals, birds, and reptiles, with separate nocturnal house and children-friendly exhibits.",09:00-18:15,2025-09-01,"nocturnal zoo, lions and tigers, reptile house, lakefront setting",,,,,,,,"{'mar_oct': '09:00-18:15', 'nov_feb': '09:00-17:30'}","['Kankaria Lake', 'Nagina Wadi', 'Balvatika & Amusement Park', 'Kankaria Kids City']","['family', 'kids', 'seniors', 'group', 'friends', 'educational', 'nature']",72.6028,,20,,,09:00-18:15,,"{'wheelchair': True, 'public_transport': True, 'parking': True}",,180,09:00-18:15,,Closed,,Kamla Nehru Zoological Garden (Kankaria Zoo),"Nov, Dec, Jan, Feb, Mar",10,09:00-18:15,Gujarat,,Closed on Mondays; camera fees may apply; peak crowds on weekends and holidays; some timings vary seasonally between summer and winter.,P_00023,23.0057,4.3,Ahmedabad,zoo,,,20,09:00-18:15,,,,,India,,"zoo, family, animals, reptiles, birds, nature"
,06:00-22:00,"A centrally located urban lake surrounded by green lawns, a walking track, children’s play areas, and an amphitheatre; popular for evening strolls, cultural events, and seasonal paddle boating with many snack stalls nearby.",06:00-22:00,2025-09-01,"evening hangouts, walking track, street food stalls, small boat rides",,,,,,,,,"['Ahmedabad One Mall', 'ISKCON Temple', 'Parimal Garden', 'Amdavad ni Gufa']","['family', 'kids', 'seniors', 'friends', 'couple', 'solo', 'photographers', 'nature']",72.5293,,0,,,06:00-22:00,,"{'wheelchair': True, 'public_transport': True, 'parking': True}",,60,06:00-22:00,,06:00-22:00,,Vastrapur Lake,"Nov, Dec, Jan, Feb, Mar",0,06:00-22:00,Gujarat,,"Boating and event schedules vary seasonally; evenings get crowded, especially weekends; limited shade in summer afternoons.",P_00024,23.0369,4.3,Ahmedabad,waterfront,,,0,06:00-22:00,,,,,India,,"lakefront, park, jogging, boating, street food, events"
,06:00-20:00,"A grand triple-arched gateway (completed 1415) forming the eastern egress of Bhadra Fort, once leading to the royal Maidan Shah courtyard; noted for Indo-Islamic carvings, the ‘Tree of Life’ motif, and a historic 1812 inscription advocating women’s inheritance rights.",06:00-20:00,2025-09-01,"triple arches, Tree of Life window, women’s rights inscription (1812), royal processions route",,,,,,,,,"['Bhadra Fort', 'Manek Chowk', 'Jama Masjid', 'Rani no Hajiro', 'Sidi Saiyyed Mosque']","['solo', 'friends', 'group', 'couple', 'photographers', 'history-buffs', 'shoppers']",72.5846,,0,,,06:00-20:00,,"{'wheelchair': True, 'public_transport': True, 'parking': False}",,30,06:00-20:00,,06:00-20:00,,Teen Darwaza,"Nov, Dec, Jan, Feb, Mar",0,06:00-20:00,Gujarat,,Set amid busy bazaars; best explored on foot; exercise caution with traffic; some sections may be under conservation.,P_00025,23.0242,4.4,Ahmedabad,heritage,,,0,06:00-20:00,,,,,India,,"gateway, architecture, history, photography, market"
,"10:00-12:00,16:00-18:00","A niche museum inside the Le Corbusier–designed Sanskar Kendra at Paldi, showcasing an extensive collection of Indian and international kites, materials, and illustrations; conceptualized from the collection of Bhanu Shah.","10:00-12:00,16:00-18:00",2025-09-01,"mirror-work kites, Japanese Rokoku kites, block-print kites, 16–22 ft themed kites",,,,,,,,,"['Amdavad ni Gufa', 'Sabarmati Riverfront', 'Law Garden Night Market', 'Sardar Vallabhbhai Patel National Memorial']","['family', 'kids', 'solo', 'group', 'friends', 'educational']",72.5637,,0,,,"10:00-12:00,16:00-18:00",,"{'wheelchair': True, 'public_transport': True, 'parking': 'limited'}",,45,"10:00-12:00,16:00-18:00",,Closed,,Kite Museum (Sanskar Kendra),"Jan, Feb, Nov, Dec, Mar",0,"10:00-12:00,16:00-18:00",Gujarat,,Timings may change on public holidays; photography is often restricted inside; visit pairs well with the adjacent city museum exhibits.,P_00026,23.0155,4.2,Ahmedabad,museum,,,0,"10:00-12:00,16:00-18:00",,,,,India,,"kites, culture, kids, heritage, Le Corbusier"
,05:00-22:00,"A popular replica of the Katra Vaishno Devi shrine, built atop a man‑made sandstone hill near Vaishnodevi Circle on the Sarkhej–Gandhinagar Highway; visitors walk through cave-like passages to reach the sanctum dedicated to Goddess Vaishno Devi.",05:00-22:00,2025-09-01,"replica shrine, cave-style approach, Navratri celebrations",,,,,,,,,"['ISKCON Temple', 'Science City', 'Ahmedabad One Mall', 'Sarkhej Roza']","['pilgrims', 'family', 'seniors', 'solo', 'group', 'friends']",72.5416,,0,,,05:00-22:00,,"{'wheelchair': True, 'public_transport': True, 'parking': True}",,45,05:00-22:00,,05:00-22:00,,Vaishno Devi Temple (Ahmedabad),"Oct, Nov, Dec, Jan, Feb, Mar",0,05:00-22:00,Gujarat,,Peak crowds during Navratri and weekends; modest attire recommended; roadside parking can be busy near Vaishnodevi Circle.,P_00027,23.1074,4.5,Ahmedabad,temple,,,0,05:00-22:00,,,,,India,,"Hindu temple, Vaishno Devi, replica, pilgrimage, Navratri"
